@relation areasdeconocimiento

@attribute sexo {F,M}
@attribute edad numeric
@attribute ingenieria numeric
@attribute realistic numeric
@attribute investigativo numeric
@attribute artistic numeric
@attribute social numeric
@attribute emprendedor numeric
@attribute convencional numeric
@data

F,13,0,6,8.5,15,16,19.5,20
F,15,0,3,7.5,15.5,16,18.5,20.5
F,13,0,5,7,6,6.5,8.5,10
F,13,0,18,24,27.5,22.5,21,23.5
F,17,0,24,28,28,24,24.5,28
F,15,0,12,11,13,12,11,13.5
M,17,1,11.5,18.5,28,24.5,23.5,21.5
M,14,0,2.5,1,1.5,2.5,1.5,1
M,15,0,0.5,11.5,23,13,3,6
F,15,0,4,9.5,17,10,3,13
M,19,0,10.5,17,22,22,23.5,20.5
F,18,0,3,14,25,14,5.5,15
F,18,0,1,0.5,1.5,1.5,7,7.5
F,16,0,3,3,11.5,10,3.5,11
F,16,1,1,3.5,5,13,21.5,15
F,17,0,13.5,14.5,9.5,12,14.5,7
M,17,0,11.5,15,14,13,15.5,15
M,17,0,18.5,20.5,27.5,25.5,24,23
F,18,0,7,15.5,19,10.5,7,14.5
M,17,1,8,6.5,11,13,11,9.5
M,17,1,7,3,7.5,8.5,5,10.5
F,17,1,9.5,6,10.5,7,2,5.5
M,18,0,8.5,13.5,20.5,18,17,13
M,17,0,2.5,0.5,4,3,3,5
F,17,0,13.5,14,11,12,11.5,12.5
M,14,0,12.5,15,22.5,20,19.5,17
F,18,0,2,2,1.5,2,3.5,14.5
M,20,1,8,9,10.5,12.5,10.5,9.5
M,14,1,15.5,15.5,12,15.5,13.5,14
F,17,0,14,16,20.5,15,12.5,14
M,16,0,0.5,2,4.5,5,5.5,14
F,17,0,9.5,14.5,19.5,11.5,10,18
F,20,0,17,18,17.5,16.5,15.5,17.5
F,15,0,7,11.5,19,14,9.5,19.5
M,15,0,18,19,18.5,17,14,14.5
M,15,1,23.5,26.5,28.5,24,21,16.5
M,16,1,12,17.5,25,23.5,22,13
M,15,0,7.5,13.5,18,14,11.5,14.5
M,15,0,12.5,21.5,28.5,22.5,18,21.5
M,15,0,4,11,17,13,9,12
M,15,1,12,19,23,20,20,18
M,17,1,12,20,28.5,18.5,11,13
F,16,1,20,21,26,22.5,21,24.5
M,18,1,15,19.5,25.5,17.5,10.5,13
M,14,0,0.5,5,12,17.5,19.5,12.5
M,15,0,13.5,19,24.5,25,20.5,21.5
F,16,1,6.5,14,23.5,18.5,9.5,12
F,17,0,6,17,26.5,23.5,20,18
F,16,0,6,14,23.5,16,7.5,14
F,17,0,6,10.5,17,20.5,22,16
M,16,1,12,15.5,17,14,12.5,9.5
M,13,1,9,11,13.5,10.5,7.5,5
F,12,0,11.5,14.5,23,15,10.5,18
M,14,0,17.5,23.5,23,23,24.5,22
M,18,1,12.5,18,25.5,20.5,17.5,12.5
F,14,1,15,14.5,20,22,24,25
M,18,1,19.5,24.5,23.5,19.5,22,23
F,14,0,8,16.5,25.5,15,7.5,15.5
M,18,0,15,18.5,21,16,6.5,1.5
F,16,0,20,22.5,23.5,23,25,26.5
F,16,0,5,8,16,10,10,13
M,16,0,2,5,5,10.5,21.5,15.5
F,15,0,5,13,25.5,24,20.5,19
F,15,0,14.5,20,27.5,24,17,20.5
M,13,0,8,13,16,12,6.5,13
M,13,0,16,14.5,12.5,9.5,9,14
M,13,0,10.5,12.5,15,11,9.5,15
F,16,0,19,23,27,20,19.5,26
F,16,0,3.5,13.5,24.5,16,14.5,22.5
F,16,0,19.5,23.5,27,24.5,24.5,22.5
M,16,1,9.5,10.5,13.5,13.5,12.5,12
F,14,0,5,15.5,28,19.5,15.5,22.5
M,13,0,3,3,5,8,8,6.5
M,13,0,0,4,8,4,0,3
M,15,0,6,11,19.5,16,13.5,17.5
M,17,0,2,2.5,7.5,7,4.5,5.5
M,13,0,0.5,7,8,3,1,4.5
F,14,0,2,10.5,15,12,16.5,15.5
F,13,0,8,16,23,24,23,26
F,15,0,13.5,16,21.5,23.5,25.5,26.5
M,14,0,1,7,10,5.5,1,4
F,12,0,2,5,8,8.5,11.5,13
F,14,0,16.5,16.5,11.5,8.5,10,17.5
F,13,0,4.5,12,18,14,17,21.5
M,13,1,13.5,18.5,26,21.5,16.5,15.5
F,12,0,9,16.5,24.5,21.5,22.5,22
F,13,0,7,12.5,21,21,19.5,18.5
F,12,1,10.5,17,24.5,22.5,22,25
M,14,1,5,3.5,0,2.5,3,1.5
F,12,0,8.5,16,26,24.5,23,20
F,17,0,6,14.5,21,11.5,2,9
M,13,1,10.5,16.5,23.5,18.5,12,8
F,18,0,1.5,11.5,21,11,0.5,11.5
F,14,0,9.5,11,9,11,15,16.5
M,15,0,14,13,16.5,17.5,15,17
M,15,0,12,11.5,15,17,12.5,15
M,15,0,5,2.5,4.5,13,17.5,13
M,15,0,20.5,23,27.5,24.5,22.5,20
M,15,0,16.5,22,27.5,23.5,18.5,17.5
M,15,0,23,26,27.5,25.5,21.5,22
M,15,0,4,4,5,13,23.5,15
M,12,0,18,21,22,20,20,21.5
M,12,0,18,18.5,17.5,16,17.5,18.5
F,15,0,21.5,22,22,22.5,24,26
F,14,0,20,22,23.5,21.5,16.5,15.5
F,12,0,12.5,17.5,27,17,13,17.5
M,17,1,15.5,16.5,15,11.5,10.5,14
M,17,0,8.5,9,15.5,17,16,11
M,14,0,6,10.5,18,16.5,14.5,18
F,13,0,8,16,26,17,12,18
F,14,0,1,5,9,5.5,4.5,10.5
F,14,0,3.5,8.5,17,17.5,18.5,23.5
M,18,0,8,16,23.5,19.5,14.5,12
M,13,0,9.5,15.5,25.5,22.5,19.5,20
M,13,0,11,12.5,14.5,16.5,15,16
F,17,0,5,15,23,13,11,18.5
F,14,0,3.5,4.5,9.5,10,9.5,14.5
F,14,0,2,3,3,0.5,0.5,4.5
M,15,0,16.5,20,21,21,19.5,16
M,16,0,12.5,17,21,19.5,14.5,18
F,17,0,3,9.5,19.5,17.5,17,20
M,15,1,16.5,20.5,21.5,25,27.5,24.5
F,17,0,7.5,9.5,12.5,8.5,9.5,17.5
F,14,0,19.5,22.5,23,23.5,21.5,20
F,14,0,0.5,5,6.5,5,3.5,3
M,15,1,13,17,20.5,22,23.5,16
M,15,1,16.5,22.5,26.5,23.5,23,24.5
F,15,0,6.5,11.5,21.5,23,23,23
F,16,0,8.5,13,14.5,13,13,14.5
F,15,0,9.5,13.5,13.5,9.5,12,18.5
M,14,0,14,12.5,15.5,14.5,13,13
F,14,0,2.5,10.5,21,23,23.5,24.5
M,16,0,14.5,15.5,22,16,8.5,13
F,15,0,10,14,23,27.5,28,24.5
M,13,0,20.5,24.5,27,26,24.5,24.5
M,14,0,2,10.5,19.5,13.5,9.5,10.5
F,14,0,0.5,0,2,3,5,7.5
M,13,0,3,7,11,7.5,6,3.5
M,15,0,1,5,11,7.5,3,4
F,14,0,2,6,9.5,13,16,12.5
M,14,0,6,9.5,7.5,8,15.5,14.5
M,13,0,4.5,7,15,12.5,8,6.5
M,14,0,19,22.5,26.5,26.5,26,25
M,18,0,8,10,13.5,15,13.5,14.5
F,14,0,3.5,4.5,3.5,7,9.5,10.5
M,14,0,2.5,5,8,13.5,20.5,17.5
F,16,0,10.5,13,17.5,15,16.5,21.5
M,12,0,9.5,14,17.5,17.5,18.5,18.5
M,12,0,4,8.5,16.5,20.5,23.5,17
M,13,0,4,8.5,12,12.5,8.5,5.5
M,13,1,16.5,18.5,24,23,20.5,15.5
M,14,0,4.5,8.5,17,15.5,10.5,7
M,13,1,18.5,22,26.5,24.5,20,15
F,13,0,6,9.5,11,6,3,3
M,16,0,13,20,24.5,22.5,23.5,27
M,14,0,4,7.5,9,10,17,14
M,15,0,1.5,7.5,17,19,22,18
M,16,0,6,16,21,19,23.5,18.5
M,16,1,11.5,17.5,21,20,18.5,22
F,16,0,1,1.5,6,5,5,13.5
M,16,0,19,22.5,26.5,25,24.5,24
M,13,0,7.5,13,19.5,18,13,13
M,15,0,15.5,22.5,28.5,21.5,17,18.5
F,17,0,3.5,6,6,2.5,3.5,15
F,15,0,5,8,12,8,2.5,9
M,14,0,8.5,15.5,20.5,14.5,13.5,15
F,14,1,12,19,26.5,21,16,16
F,15,0,18,21.5,21.5,13.5,9.5,15.5
F,16,0,1.5,3.5,4.5,4,8,11
M,15,0,19,23,28,24.5,22.5,18.5
M,16,0,5,10,17.5,14,12,11
M,16,0,3.5,6,8.5,9,11,12.5
F,14,0,4.5,7.5,15,11,11.5,15
M,16,1,11,13.5,18.5,19.5,21,16.5
F,16,0,3,8,10.5,6.5,8,15
F,17,0,14.5,17.5,18,17,18.5,21
M,16,0,10.5,16,19,17.5,18.5,18
M,17,0,16,20.5,20,19.5,22.5,23.5
F,14,0,3,11,17.5,9,10,16.5
M,16,0,14,15,15.5,16,16,15
M,14,0,11.5,13,14.5,17,18,16.5
F,14,0,1,8,13,11,13.5,12
F,14,0,3.5,7.5,11.5,6.5,6,11.5
M,18,0,13.5,21.5,26,21.5,17.5,11.5
M,13,0,12,19.5,28,26.5,25.5,27
F,16,0,7,12.5,19.5,13.5,5,9
F,14,0,14.5,14.5,14.5,14.5,14.5,14.5
M,13,0,1,1.5,1,3,4.5,2.5
F,15,0,21,23,26.5,22,19.5,21
